name,brand,categories,primaryCategories,reviews_date,reviews_text,reviews_title,sentiment
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-26T00:00:00.000Z,"['purchased', 'black', 'fridaypros', 'great', 'price', 'even', 'sale', 'powerful', 'fast', 'quad', 'core', 'processors', 'amazing', 'soundwell', 'builtcons', 'amazon', 'ads', 'amazon', 'need', 'subsidize', 'tablet', 'remove', 'adds', 'pay', 'inability', 'access', 'apps', 'except', 'ones', 'amazon', 'way', 'able', 'accomplish', 'add', 'google', 'play', 'storenet', 'great', 'tablet', 'money']",Powerful tablet,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-01-17T00:00:00.000Z,"['purchased', 'two', 'amazon', 'echo', 'plus', 'two', 'dots', 'plus', 'four', 'fire', 'sticks', 'hub', 'philips', 'hue', 'lamp', 'family', 'christmas', 'iaom', 'happy', 'purchases', 'learning', 'much', 'alexa', 'start', 'daily', 'routine', 'alexa', 'program', 'whatever', 'would', 'like', 'include', 'news', 'weather', 'music', 'horoscope', 'also', 'start', 'day', 'compliment', 'think', 'important', 'alexa', 'gave', 'best', 'chili', 'recipe', 'mean', 'best', 'itaos', 'called', 'chili', 'want', 'husband', 'use', 'alexa', 'stay', 'organized', 'business', 'dates', 'reminders', 'way', 'go']",Amazon Echo Plus AWESOME,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2017-12-20T00:00:00.000Z,"['average', 'alexa', 'option', 'show', 'things', 'screen', 'still', 'limited']",Average,negative
"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Amazon,"eBook Readers,Fire Tablets,Electronics Features,Tablets,Amazon Tablets,College Ipads & Tablets,Electronics,Electronics Deals,College Electronics,Featured Brands,All Tablets,Computers & Tablets,Back To College,Amazon Devices,Tablets & E-Readers","Office Supplies,Electronics",2017-08-04T00:00:00.000Z,"['good', 'product', 'exactly', 'wanted', 'good', 'price']",Greattttttt,positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-01-23T00:00:00.000Z,"['rd', 'one', 'purchased', 'bought', 'one', 'nieces', 'case', 'compares', 'one', 'held', 'protected', 'tablet', 'many', 'times', 'dropping']",Very durable!,positive
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Amazon,"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",2016-12-23T00:00:00.000Z,"['great', 'product', 'light', 'weight', 'wish', 'wifi', 'download', 'online']",You will love it,positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-05-31T00:00:00.000Z,"['year', 'old', 'daughter', 'saved', 'brother', 'bought', 'gb', 'year', 'earlier', 'new', 'needed', 'space', 'os', 'bit', 'clunky', 'less', 'intuitive', 'higher', 'priced', 'tablets', 'tough', 'beat', 'price', 'speed', 'nt', 'great', 'web', 'certain', 'gaming', 'apps', 'fine', 'books', 'parental', 'controls', 'helpful', 'take', 'time', 'figure', 'require', 'steps', 'seem', 'necessary', 'change', 'overall', 'ok', 'first', 'tablet', 'kids', 'considering', 'price', 'adults', 'fine', 'ebooks', 'basic', 'apps', 'otherwise', 'best', 'pay', 'better', 'quality', 'os', 'efficiency']",OK For Entry Level Tablet,positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-06-05T00:00:00.000Z,"['purchased', 'son', 'room', 'upgrade', 'memory', 'allow', 'books', 'games', 'speakers', 'could', 'better', 'located', 'better', 'position']",Great for kids or smaller needs,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-23T00:00:00.000Z,"['bought', 'mom', 'needed', 'great', 'price', 'wanting', 'get', 'ipad', 'think', 'might', 'great', 'less', 'expensive', 'option', 'well']",Great tablet,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-05-18T00:00:00.000Z,"['cheap', 'run', 'chrome', 'stuff', 'returned', 'store']","was cheap, can not run chrome stuff, returned",negative
